Result, First, Second
1, 68, 142
-1, 74, 124
-1, 73, 70
-1, 117, 165
1, 7, 152
-1, 59, 141
-1, 145, 48
-1, 175, 157
0, 101, 108
0, 54, 67
1, 173, 17
1, 120, 16
0, 78, 119
1, 32, 46
-1, 174, 116
-1, 148, 2
0, 171, 144
-1, 82, 69
1, 167, 20
1, 113, 126
-1, 98, 0
-1, 159, 170
1, 107, 187
1, 51, 187
1, 129, 40
1, 38, 158
1, 104, 188
1, 196, 119
-1, 41, 125
1, 109, 71
-1, 141, 88
1, 180, 72
1, 77, 188
-1, 187, 47
-1, 123, 173
-1, 46, 28
-1, 104, 26
1, 175, 82
1, 175, 39
1, 55, 56
-1, 126, 46
-1, 92, 195
-1, 113, 46
-1, 132, 174
1, 97, 152
-1, 31, 181
1, 140, 132
1, 108, 84
-1, 126, 193
-1, 40, 62
-1, 145, 32
1, 117, 110
1, 62, 48
-1, 132, 107
1, 180, 9
0, 107, 69
1, 24, 58
1, 118, 37
1, 2, 0
-1, 86, 26
1, 1, 73
-1, 14, 168
1, 24, 49
0, 41, 29
1, 57, 98
-1, 122, 177
-1, 186, 13
1, 106, 156
-1, 169, 114
-1, 173, 134
1, 98, 8
-1, 48, 126
-1, 186, 87
-1, 146, 10
-1, 107, 153
0, 174, 35
0, 15, 195
-1, 26, 31
-1, 158, 167
1, 100, 6
-1, 38, 35
1, 143, 9
1, 93, 31
1, 168, 9
1, 151, 75
1, 75, 66
1, 162, 149
1, 196, 64
-1, 48, 72
-1, 32, 91
-1, 64, 139
1, 64, 147
-1, 42, 76
-1, 186, 42
-1, 191, 42
-1, 160, 75
-1, 172, 118
1, 101, 132
1, 176, 169
1, 193, 82
0, 80, 42
1, 54, 31
1, 39, 24
-1, 45, 172
-1, 74, 12
-1, 58, 132
-1, 13, 33
0, 78, 126
-1, 169, 121
-1, 25, 106
-1, 133, 171
1, 142, 141
1, 37, 128
-1, 21, 4
-1, 88, 38
-1, 171, 127
1, 95, 83
1, 129, 97
-1, 18, 72
-1, 48, 134
1, 45, 155
1, 146, 161
-1, 84, 2
-1, 67, 152
-1, 54, 78
-1, 91, 133
1, 167, 192
-1, 73, 116
1, 159, 185
-1, 156, 75
0, 12, 144
-1, 194, 101
-1, 30, 41
0, 66, 55
1, 68, 66
-1, 36, 101
-1, 171, 75
1, 116, 2
0, 49, 114
-1, 64, 84
1, 144, 11
-1, 27, 13
1, 23, 46
1, 171, 169
-1, 55, 165
-1, 123, 11
-1, 175, 185
1, 94, 41
0, 19, 22
0, 194, 114
0, 116, 43
0, 100, 90
0, 50, 85
0, 37, 163
1, 64, 110
0, 62, 25
1, 30, 138
-1, 57, 10
-1, 57, 120
-1, 76, 177
-1, 36, 184
1, 103, 163
1, 184, 73
-1, 160, 94
-1, 100, 66
1, 56, 192
-1, 46, 112
-1, 163, 6
-1, 18, 180
-1, 92, 12
-1, 167, 13
-1, 49, 65
1, 142, 82
1, 76, 111
1, 153, 145
1, 61, 35
-1, 82, 61
1, 19, 73
1, 150, 4
-1, 11, 115
-1, 97, 85
-1, 59, 129
-1, 44, 88
-1, 59, 71
0, 64, 104
-1, 8, 143
-1, 79, 56
0, 109, 10
-1, 89, 56
1, 24, 107
-1, 155, 53
1, 35, 92
1, 46, 163
-1, 28, 88
-1, 159, 79
1, 116, 107
-1, 82, 51
-1, 55, 10
1, 51, 114
-1, 140, 123
1, 69, 171
-1, 144, 136
1, 185, 139
-1, 141, 51
-1, 71, 128
1, 113, 118
-1, 161, 136
-1, 53, 125
1, 45, 80
-1, 91, 146
-1, 36, 18
1, 26, 171
-1, 107, 42
